Fecha de facturacion,SKU,Unidades facturadas,Precio unitario en pesos argentinos,Categoria,Monto facturado
2024-10-17,HJ1142,5,8576.12,Rastrillos,42880.6
2024-10-07,HJ1190,3,4053.38,Pulverizadores,12160.14
2024-10-07,HJ1078,4,1372.4,Tijeras de Podar,5489.6
2024-10-18,HJ1067,1,6981.31,Tijeras de Podar,6981.31
2024-10-20,HJ1097,11,4207.33,Tijeras de Podar,46280.63
2024-10-23,HJ1050,40,5006.87,Tijeras de Podar,200274.8
2024-10-14,HJ1162,6,6737.14,Pulverizadores,40422.84
2024-10-16,HJ1102,14,5164.97,Rastrillos,72309.58
2024-10-07,HJ1131,25,7539.61,Rastrillos,188490.25
2024-10-09,HJ1048,4,6473.86,Palas,25895.44
2024-10-27,HJ1105,53,1843.18,Rastrillos,97688.54
2024-10-28,HJ1159,29,1603.75,Pulverizadores,46508.75
2024-10-18,HJ1131,32,7539.61,Rastrillos,241267.52
2024-10-20,HJ1112,7,3477.73,Rastrillos,24344.11
2024-10-22,HJ1119,43,5370.49,Rastrillos,230931.07
2024-10-09,HJ1115,24,7838.36,Rastrillos,188120.64
2024-10-09,HJ1162,27,6737.14,Pulverizadores,181902.78
2024-10-24,HJ1069,5,4900.83,Tijeras de Podar,24504.15
2024-10-08,HJ1133,57,10196.6,Rastrillos,581206.2
2024-10-14,HJ1181,56,4005.58,Pulverizadores,224312.48
2024-10-26,HJ1075,29,6523.87,Tijeras de Podar,189192.23
2024-10-26,HJ1017,62,9655.22,Palas,598623.64
2024-10-15,HJ1039,2,2219.93,Palas,4439.86
2024-10-09,HJ1156,19,1868.19,Pulverizadores,35495.61
2024-10-10,HJ1114,16,4842.77,Rastrillos,77484.32
2024-10-16,HJ1056,25,6113.22,Tijeras de Podar,152830.5
2024-10-16,HJ1174,20,9515.28,Pulverizadores,190305.6
2024-10-15,HJ1183,3,1127.6,Pulverizadores,3382.8
2024-10-17,HJ1069,2,4900.83,Tijeras de Podar,9801.66
2024-10-13,HJ1183,6,1127.6,Pulverizadores,6765.6
2024-10-06,HJ1084,18,5323.99,Tijeras de Podar,95831.82
2024-10-10,HJ1045,21,5201.88,Palas,109239.48
2024-10-12,HJ1059,1,3708.34,Tijeras de Podar,3708.34
2024-10-16,HJ1090,2,2497.5,Tijeras de Podar,4995.0
2024-10-15,HJ1132,39,1870.69,Rastrillos,72956.91
2024-10-19,HJ1058,3,2268.04,Tijeras de Podar,6804.12
2024-10-07,HJ1083,35,6166.94,Tijeras de Podar,215842.9
2024-10-23,HJ1023,45,10052.79,Palas,452375.55
2024-10-07,HJ1168,15,6900.51,Pulverizadores,103507.65
2024-10-15,HJ1131,79,7539.61,Rastrillos,595629.19
2024-10-06,HJ1016,9,7057.81,Palas,63520.29
2024-10-23,HJ1176,2,3066.09,Pulverizadores,6132.18
2024-10-10,HJ1116,13,5095.16,Rastrillos,66237.08
2024-10-16,HJ1069,43,4900.83,Tijeras de Podar,210735.69
2024-10-08,HJ1104,71,5216.12,Rastrillos,370344.52
2024-10-11,HJ1136,15,9138.19,Rastrillos,137072.85
2024-10-20,HJ1155,22,4747.95,Pulverizadores,104454.9
2024-10-05,HJ1102,9,5164.97,Rastrillos,46484.73
2024-10-05,HJ1112,16,3477.73,Rastrillos,55643.68
2024-10-09,HJ1094,22,4859.77,Tijeras de Podar,106914.94
2024-10-23,HJ1132,12,1870.69,Rastrillos,22448.28
2024-10-10,HJ1072,1,2634.16,Tijeras de Podar,2634.16
2024-10-21,HJ1045,20,5201.88,Palas,104037.6
2024-10-13,HJ1160,3,3307.72,Pulverizadores,9923.16
2024-10-07,HJ1139,13,8974.25,Rastrillos,116665.25
2024-10-02,HJ1179,79,7432.89,Pulverizadores,587198.31
2024-10-17,HJ1132,25,1870.69,Rastrillos,46767.25
2024-10-15,HJ1156,38,1868.19,Pulverizadores,70991.22
2024-10-09,HJ1133,8,10196.6,Rastrillos,81572.8
2024-10-26,HJ1005,28,9981.47,Palas,279481.16
2024-10-23,HJ1133,12,10196.6,Rastrillos,122359.2
2024-10-18,HJ1093,22,4362.06,Tijeras de Podar,95965.32
2024-10-11,HJ1025,30,3817.09,Palas,114512.7
2024-10-18,HJ1030,23,4736.49,Palas,108939.27
2024-10-18,HJ1104,49,5216.12,Rastrillos,255589.88
2024-10-08,HJ1119,15,5370.49,Rastrillos,80557.35
2024-10-21,HJ1080,2,3447.71,Tijeras de Podar,6895.42
2024-10-17,HJ1018,10,2130.31,Palas,21303.1
2024-10-10,HJ1200,17,5869.34,Pulverizadores,99778.78
2024-10-20,HJ1080,3,3447.71,Tijeras de Podar,10343.13
2024-10-11,HJ1182,10,7349.02,Pulverizadores,73490.2
2024-10-07,HJ1105,36,1843.18,Rastrillos,66354.48
2024-10-18,HJ1108,11,4592.39,Rastrillos,50516.29
2024-10-11,HJ1155,8,4747.95,Pulverizadores,37983.6
2024-10-08,HJ1025,31,3817.09,Palas,118329.79
2024-10-03,HJ1179,11,7432.89,Pulverizadores,81761.79
2024-10-22,HJ1123,26,8444.49,Rastrillos,219556.74
2024-10-06,HJ1176,42,3066.09,Pulverizadores,128775.78
2024-10-15,HJ1139,7,8974.25,Rastrillos,62819.75
2024-10-07,HJ1097,43,4207.33,Tijeras de Podar,180915.19
2024-10-22,HJ1183,35,1127.6,Pulverizadores,39466.0
2024-10-17,HJ1186,33,10370.06,Pulverizadores,342211.98
2024-10-14,HJ1100,22,6003.27,Rastrillos,132071.94
2024-10-13,HJ1164,56,7720.07,Pulverizadores,432323.92
2024-10-08,HJ1120,2,5832.14,Rastrillos,11664.28
2024-10-18,HJ1152,17,8429.66,Pulverizadores,143304.22
2024-10-12,HJ1135,7,1757.04,Rastrillos,12299.28
2024-10-08,HJ1017,4,9655.22,Palas,38620.88
2024-10-17,HJ1115,51,7838.36,Rastrillos,399756.36
2024-10-24,HJ1165,7,9212.85,Pulverizadores,64489.95
2024-10-22,HJ1005,1,9981.47,Palas,9981.47
2024-10-22,HJ1182,8,7349.02,Pulverizadores,58792.16
2024-10-13,HJ1100,61,6003.27,Rastrillos,366199.47
2024-10-10,HJ1164,2,7720.07,Pulverizadores,15440.14
2024-10-22,HJ1084,36,5323.99,Tijeras de Podar,191663.64
2024-10-06,HJ1171,87,2191.13,Pulverizadores,190628.31
2024-10-25,HJ1075,13,6523.87,Tijeras de Podar,84810.31
2024-10-22,HJ1171,8,2191.13,Pulverizadores,17529.04
2024-10-14,HJ1200,14,5869.34,Pulverizadores,82170.76
2024-10-20,HJ1104,21,5216.12,Rastrillos,109538.52
2024-10-22,HJ1179,33,7432.89,Pulverizadores,245285.37
2024-10-27,HJ1037,8,5351.56,Palas,42812.48
2024-10-07,HJ1139,19,8974.25,Rastrillos,170510.75
2024-10-08,HJ1174,17,9515.28,Pulverizadores,161759.76
2024-10-05,HJ1156,35,1868.19,Pulverizadores,65386.65
2024-10-10,HJ1048,37,6473.86,Palas,239532.82
2024-10-11,HJ1016,18,7057.81,Palas,127040.58
2024-10-20,HJ1114,4,4842.77,Rastrillos,19371.08
2024-10-10,HJ1061,35,10179.37,Tijeras de Podar,356277.95
2024-10-15,HJ1182,19,7349.02,Pulverizadores,139631.38
2024-10-24,HJ1072,25,2634.16,Tijeras de Podar,65854.0
2024-10-07,HJ1164,41,7720.07,Pulverizadores,316522.87
2024-10-11,HJ1023,35,10052.79,Palas,351847.65
2024-10-18,HJ1165,14,9212.85,Pulverizadores,128979.9
2024-10-08,HJ1124,38,1536.58,Rastrillos,58390.04
2024-10-11,HJ1059,1,3708.34,Tijeras de Podar,3708.34
2024-10-21,HJ1139,18,8974.25,Rastrillos,161536.5
2024-10-07,HJ1088,4,6106.99,Tijeras de Podar,24427.96
2024-10-06,HJ1076,31,6518.81,Tijeras de Podar,202083.11
2024-10-09,HJ1160,57,3307.72,Pulverizadores,188540.04
2024-10-18,HJ1084,22,5323.99,Tijeras de Podar,117127.78
2024-10-20,HJ1113,27,3525.53,Rastrillos,95189.31
2024-10-12,HJ1115,32,7838.36,Rastrillos,250827.52
2024-10-23,HJ1192,6,5570.19,Pulverizadores,33421.14
2024-10-23,HJ1077,37,9062.97,Tijeras de Podar,335329.89
2024-10-15,HJ1150,24,8285.54,Pulverizadores,198852.96
2024-10-24,HJ1048,13,6473.86,Palas,84160.18
2024-10-09,HJ1003,12,6143.3,Palas,73719.6
2024-10-26,HJ1124,61,1536.58,Rastrillos,93731.38
2024-10-09,HJ1136,10,9138.19,Rastrillos,91381.9
2024-10-09,HJ1080,30,3447.71,Tijeras de Podar,103431.3
2024-10-17,HJ1179,12,7432.89,Pulverizadores,89194.68
2024-10-25,HJ1133,53,10196.6,Rastrillos,540419.8
2024-10-18,HJ1131,26,7539.61,Rastrillos,196029.86
2024-10-09,HJ1069,21,4900.83,Tijeras de Podar,102917.43
2024-10-23,HJ1168,8,6900.51,Pulverizadores,55204.08
2024-10-05,HJ1039,7,2219.93,Palas,15539.51
2024-10-15,HJ1004,1,5768.25,Palas,5768.25
2024-10-09,HJ1183,28,1127.6,Pulverizadores,31572.8
2024-10-14,HJ1023,24,10052.79,Palas,241266.96
2024-10-16,HJ1200,52,5869.34,Pulverizadores,305205.68
2024-10-06,HJ1184,8,7259.25,Pulverizadores,58074.0
2024-10-24,HJ1192,19,5570.19,Pulverizadores,105833.61
2024-10-09,HJ1156,13,1868.19,Pulverizadores,24286.47
2024-10-17,HJ1160,50,3307.72,Pulverizadores,165386.0
2024-10-21,HJ1099,12,10092.41,Tijeras de Podar,121108.92
2024-10-23,HJ1069,11,4900.83,Tijeras de Podar,53909.13
2024-10-19,HJ1163,17,5045.51,Pulverizadores,85773.67
2024-10-16,HJ1082,59,8104.94,Tijeras de Podar,478191.46
2024-10-08,HJ1197,85,4120.75,Pulverizadores,350263.75
2024-10-23,HJ1133,27,10196.6,Rastrillos,275308.2
2024-10-22,HJ1075,5,6523.87,Tijeras de Podar,32619.35
2024-10-20,HJ1051,30,8659.77,Tijeras de Podar,259793.1
2024-10-10,HJ1025,5,3817.09,Palas,19085.45
2024-10-14,HJ1022,38,2797.22,Palas,106294.36
2024-10-21,HJ1184,15,7259.25,Pulverizadores,108888.75
2024-10-24,HJ1017,25,9655.22,Palas,241380.5
2024-10-02,HJ1093,1,4362.06,Tijeras de Podar,4362.06
2024-10-03,HJ1060,37,7191.95,Tijeras de Podar,266102.15
2024-10-12,HJ1123,23,8444.49,Rastrillos,194223.27
2024-10-24,HJ1075,42,6523.87,Tijeras de Podar,274002.54
2024-10-18,HJ1016,73,7057.81,Palas,515220.13
2024-10-19,HJ1176,22,3066.09,Pulverizadores,67453.98
2024-10-19,HJ1034,30,2381.03,Palas,71430.9
2024-10-16,HJ1065,62,6369.85,Tijeras de Podar,394930.7
2024-10-15,HJ1039,17,2219.93,Palas,37738.81
2024-10-08,HJ1037,54,5351.56,Palas,288984.24
2024-10-11,HJ1035,12,7918.56,Palas,95022.72
2024-10-26,HJ1072,24,2634.16,Tijeras de Podar,63219.84
2024-10-12,HJ1003,32,6143.3,Palas,196585.6
2024-10-23,HJ1132,27,1870.69,Rastrillos,50508.63
2024-10-15,HJ1060,40,7191.95,Tijeras de Podar,287678.0
2024-10-24,HJ1156,1,1868.19,Pulverizadores,1868.19
2024-10-22,HJ1018,60,2130.31,Palas,127818.6
2024-10-27,HJ1096,2,4150.19,Tijeras de Podar,8300.38
2024-10-22,HJ1075,7,6523.87,Tijeras de Podar,45667.09
2024-10-12,HJ1171,6,2191.13,Pulverizadores,13146.78
2024-10-19,HJ1018,8,2130.31,Palas,17042.48
2024-10-22,HJ1072,20,2634.16,Tijeras de Podar,52683.2
2024-10-17,HJ1143,3,8252.38,Rastrillos,24757.14
2024-10-16,HJ1078,47,1372.4,Tijeras de Podar,64502.8
2024-10-12,HJ1099,7,10092.41,Tijeras de Podar,70646.87
2024-10-23,HJ1059,73,3708.34,Tijeras de Podar,270708.82
2024-10-16,HJ1097,16,4207.33,Tijeras de Podar,67317.28
2024-10-07,HJ1097,19,4207.33,Tijeras de Podar,79939.27
2024-10-25,HJ1005,60,9981.47,Palas,598888.2
2024-10-15,HJ1084,14,5323.99,Tijeras de Podar,74535.86
2024-10-15,HJ1136,24,9138.19,Rastrillos,219316.56
2024-10-21,HJ1005,48,9981.47,Palas,479110.56
2024-10-08,HJ1135,9,1757.04,Rastrillos,15813.36
2024-10-04,HJ1136,16,9138.19,Rastrillos,146211.04
2024-10-15,HJ1078,14,1372.4,Tijeras de Podar,19213.6
2024-10-17,HJ1131,32,7539.61,Rastrillos,241267.52
2024-10-18,HJ1119,31,5370.49,Rastrillos,166485.19
2024-10-13,HJ1077,1,9062.97,Tijeras de Podar,9062.97
2024-10-21,HJ1200,6,5869.34,Pulverizadores,35216.04
2024-10-19,HJ1039,33,2219.93,Palas,73257.69
2024-10-12,HJ1096,15,4150.19,Tijeras de Podar,62252.85
2024-10-09,HJ1156,44,1868.19,Pulverizadores,82200.36
2024-10-11,HJ1093,2,4362.06,Tijeras de Podar,8724.12
2024-10-05,HJ1106,13,7111.29,Rastrillos,92446.77
2024-10-21,HJ1182,2,7349.02,Pulverizadores,14698.04
2024-10-24,HJ1067,6,6981.31,Tijeras de Podar,41887.86
2024-10-23,HJ1105,1,1843.18,Rastrillos,1843.18
2024-10-07,HJ1156,1,1868.19,Pulverizadores,1868.19
2024-10-07,HJ1105,18,1843.18,Rastrillos,33177.24
2024-10-19,HJ1105,49,1843.18,Rastrillos,90315.82
2024-10-13,HJ1042,21,8455.8,Palas,177571.8
2024-10-27,HJ1080,20,3447.71,Tijeras de Podar,68954.2
2024-10-18,HJ1195,7,6178.26,Pulverizadores,43247.82
2024-10-18,HJ1112,67,3477.73,Rastrillos,233007.91
2024-10-22,HJ1059,3,3708.34,Tijeras de Podar,11125.02
2024-10-21,HJ1182,63,7349.02,Pulverizadores,462988.26
2024-10-11,HJ1060,50,7191.95,Tijeras de Podar,359597.5
2024-10-06,HJ1027,5,9970.87,Palas,49854.35
2024-10-08,HJ1149,59,9192.03,Rastrillos,542329.77
2024-10-07,HJ1135,31,1757.04,Rastrillos,54468.24
2024-10-23,HJ1072,25,2634.16,Tijeras de Podar,65854.0
2024-10-14,HJ1023,15,10052.79,Palas,150791.85
2024-10-23,HJ1059,46,3708.34,Tijeras de Podar,170583.64
2024-10-08,HJ1192,35,5570.19,Pulverizadores,194956.65
2024-10-20,HJ1018,68,2130.31,Palas,144861.08
2024-10-08,HJ1058,57,2268.04,Tijeras de Podar,129278.28
2024-10-03,HJ1142,58,8576.12,Rastrillos,497414.96
2024-10-16,HJ1088,63,6106.99,Tijeras de Podar,384740.37
2024-10-07,HJ1184,5,7259.25,Pulverizadores,36296.25
2024-10-12,HJ1123,2,8444.49,Rastrillos,16888.98
2024-10-24,HJ1200,49,5869.34,Pulverizadores,287597.66
2024-10-15,HJ1108,7,4592.39,Rastrillos,32146.73
2024-10-21,HJ1156,1,1868.19,Pulverizadores,1868.19
2024-10-25,HJ1150,15,8285.54,Pulverizadores,124283.1
2024-10-13,HJ1132,31,1870.69,Rastrillos,57991.39
2024-10-10,HJ1124,35,1536.58,Rastrillos,53780.3
2024-10-15,HJ1080,41,3447.71,Tijeras de Podar,141356.11
2024-10-09,HJ1182,54,7349.02,Pulverizadores,396847.08
2024-10-12,HJ1067,61,6981.31,Tijeras de Podar,425859.91
2024-10-10,HJ1042,30,8455.8,Palas,253674.0
2024-10-11,HJ1139,42,8974.25,Rastrillos,376918.5
2024-10-19,HJ1195,10,6178.26,Pulverizadores,61782.6
2024-10-05,HJ1174,38,9515.28,Pulverizadores,361580.64
2024-10-02,HJ1056,2,6113.22,Tijeras de Podar,12226.44
2024-10-25,HJ1102,3,5164.97,Rastrillos,15494.91
2024-10-26,HJ1160,60,3307.72,Pulverizadores,198463.2
2024-10-23,HJ1112,9,3477.73,Rastrillos,31299.57
2024-10-23,HJ1065,26,6369.85,Tijeras de Podar,165616.1
2024-10-12,HJ1106,15,7111.29,Rastrillos,106669.35
2024-10-07,HJ1139,4,8974.25,Rastrillos,35897.0
2024-10-21,HJ1182,73,7349.02,Pulverizadores,536478.46
2024-10-17,HJ1004,2,5768.25,Palas,11536.5
2024-10-15,HJ1105,8,1843.18,Rastrillos,14745.44
2024-10-09,HJ1112,1,3477.73,Rastrillos,3477.73
2024-10-06,HJ1045,63,5201.88,Palas,327718.44
2024-10-20,HJ1176,22,3066.09,Pulverizadores,67453.98
2024-10-26,HJ1174,11,9515.28,Pulverizadores,104668.08
2024-10-23,HJ1142,59,8576.12,Rastrillos,505991.08
2024-10-17,HJ1113,18,3525.53,Rastrillos,63459.54
2024-10-21,HJ1039,3,2219.93,Palas,6659.79
2024-10-19,HJ1096,34,4150.19,Tijeras de Podar,141106.46
2024-10-06,HJ1119,35,5370.49,Rastrillos,187967.15
2024-10-15,HJ1069,44,4900.83,Tijeras de Podar,215636.52
2024-10-03,HJ1045,3,5201.88,Palas,15605.64
2024-10-13,HJ1005,46,9981.47,Palas,459147.62
2024-10-11,HJ1190,4,4053.38,Pulverizadores,16213.52
2024-10-18,HJ1067,7,6981.31,Tijeras de Podar,48869.17
2024-10-10,HJ1084,45,5323.99,Tijeras de Podar,239579.55
2024-10-02,HJ1160,77,3307.72,Pulverizadores,254694.44
2024-10-07,HJ1048,40,6473.86,Palas,258954.4
2024-10-13,HJ1102,29,5164.97,Rastrillos,149784.13
2024-10-14,HJ1018,18,2130.31,Palas,38345.58
2024-10-15,HJ1048,19,6473.86,Palas,123003.34
2024-10-18,HJ1028,34,9067.02,Palas,308278.68
2024-10-12,HJ1200,4,5869.34,Pulverizadores,23477.36
2024-10-22,HJ1171,5,2191.13,Pulverizadores,10955.65
2024-10-09,HJ1034,53,2381.03,Palas,126194.59
2024-10-21,HJ1195,10,6178.26,Pulverizadores,61782.6
2024-10-09,HJ1152,50,8429.66,Pulverizadores,421483.0
2024-10-26,HJ1031,38,1955.55,Palas,74310.9
2024-10-16,HJ1143,42,8252.38,Rastrillos,346599.96
2024-10-13,HJ1116,17,5095.16,Rastrillos,86617.72
2024-10-17,HJ1018,1,2130.31,Palas,2130.31
2024-10-11,HJ1097,15,4207.33,Tijeras de Podar,63109.95
2024-10-14,HJ1022,6,2797.22,Palas,16783.32
2024-10-15,HJ1149,50,9192.03,Rastrillos,459601.5
2024-10-13,HJ1061,34,10179.37,Tijeras de Podar,346098.58
2024-10-21,HJ1113,35,3525.53,Rastrillos,123393.55
2024-10-17,HJ1156,28,1868.19,Pulverizadores,52309.32
2024-10-22,HJ1088,23,6106.99,Tijeras de Podar,140460.77
2024-10-15,HJ1005,46,9981.47,Palas,459147.62
2024-10-09,HJ1099,18,10092.41,Tijeras de Podar,181663.38
2024-10-17,HJ1142,53,8576.12,Rastrillos,454534.36
2024-10-16,HJ1035,37,7918.56,Palas,292986.72
2024-10-09,HJ1028,46,9067.02,Palas,417082.92
2024-10-21,HJ1149,3,9192.03,Rastrillos,27576.09
2024-10-11,HJ1190,91,4053.38,Pulverizadores,368857.58
2024-10-16,HJ1114,22,4842.77,Rastrillos,106540.94
2024-10-15,HJ1119,33,5370.49,Rastrillos,177226.17
2024-10-21,HJ1027,22,9970.87,Palas,219359.14
2024-10-08,HJ1156,38,1868.19,Pulverizadores,70991.22
2024-10-06,HJ1114,5,4842.77,Rastrillos,24213.85
2024-10-05,HJ1016,1,7057.81,Palas,7057.81
2024-10-10,HJ1186,19,10370.06,Pulverizadores,197031.14
2024-10-13,HJ1181,8,4005.58,Pulverizadores,32044.64
2024-10-11,HJ1034,9,2381.03,Palas,21429.27
2024-10-08,HJ1133,53,10196.6,Rastrillos,540419.8
2024-10-25,HJ1120,56,5832.14,Rastrillos,326599.84
2024-10-26,HJ1025,1,3817.09,Palas,3817.09
2024-10-06,HJ1058,19,2268.04,Tijeras de Podar,43092.76
2024-10-19,HJ1132,32,1870.69,Rastrillos,59862.08
2024-10-17,HJ1116,17,5095.16,Rastrillos,86617.72
2024-10-07,HJ1083,11,6166.94,Tijeras de Podar,67836.34
2024-10-20,HJ1093,12,4362.06,Tijeras de Podar,52344.72
2024-10-11,HJ1114,1,4842.77,Rastrillos,4842.77
2024-10-03,HJ1076,16,6518.81,Tijeras de Podar,104300.96
2024-10-22,HJ1094,59,4859.77,Tijeras de Podar,286726.43
2024-10-10,HJ1104,52,5216.12,Rastrillos,271238.24
2024-10-20,HJ1025,55,3817.09,Palas,209939.95
2024-10-24,HJ1114,88,4842.77,Rastrillos,426163.76
2024-10-09,HJ1059,10,3708.34,Tijeras de Podar,37083.4
2024-10-22,HJ1058,1,2268.04,Tijeras de Podar,2268.04
2024-10-10,HJ1184,51,7259.25,Pulverizadores,370221.75
2024-10-11,HJ1030,57,4736.49,Palas,269979.93
2024-10-20,HJ1115,82,7838.36,Rastrillos,642745.52
2024-10-04,HJ1156,11,1868.19,Pulverizadores,20550.09
2024-10-27,HJ1143,37,8252.38,Rastrillos,305338.06
2024-10-26,HJ1136,15,9138.19,Rastrillos,137072.85
2024-10-22,HJ1042,14,8455.8,Palas,118381.2
2024-10-13,HJ1181,8,4005.58,Pulverizadores,32044.64
2024-10-06,HJ1144,3,1985.46,Rastrillos,5956.38
2024-10-10,HJ1136,53,9138.19,Rastrillos,484324.07
2024-10-27,HJ1190,48,4053.38,Pulverizadores,194562.24
2024-10-24,HJ1080,6,3447.71,Tijeras de Podar,20686.26
2024-10-07,HJ1024,25,1759.55,Palas,43988.75
2024-10-22,HJ1179,3,7432.89,Pulverizadores,22298.67
2024-10-23,HJ1061,8,10179.37,Tijeras de Podar,81434.96
2024-10-09,HJ1123,5,8444.49,Rastrillos,42222.45
2024-10-10,HJ1100,9,6003.27,Rastrillos,54029.43
2024-10-17,HJ1144,6,1985.46,Rastrillos,11912.76
2024-10-16,HJ1143,9,8252.38,Rastrillos,74271.42
2024-10-13,HJ1061,1,10179.37,Tijeras de Podar,10179.37
2024-10-04,HJ1067,26,6981.31,Tijeras de Podar,181514.06
2024-10-17,HJ1067,1,6981.31,Tijeras de Podar,6981.31
2024-10-26,HJ1113,38,3525.53,Rastrillos,133970.14
2024-10-14,HJ1159,34,1603.75,Pulverizadores,54527.5
2024-10-06,HJ1048,10,6473.86,Palas,64738.6
2024-10-16,HJ1197,84,4120.75,Pulverizadores,346143.0
2024-10-10,HJ1174,66,9515.28,Pulverizadores,628008.48
2024-10-22,HJ1165,9,9212.85,Pulverizadores,82915.65
2024-10-24,HJ1162,24,6737.14,Pulverizadores,161691.36
2024-10-08,HJ1025,39,3817.09,Palas,148866.51
2024-10-06,HJ1088,63,6106.99,Tijeras de Podar,384740.37
2024-10-20,HJ1058,3,2268.04,Tijeras de Podar,6804.12
2024-10-22,HJ1088,34,6106.99,Tijeras de Podar,207637.66
2024-10-12,HJ1159,6,1603.75,Pulverizadores,9622.5
2024-10-15,HJ1106,25,7111.29,Rastrillos,177782.25
2024-10-26,HJ1075,44,6523.87,Tijeras de Podar,287050.28
2024-10-05,HJ1018,1,2130.31,Palas,2130.31
2024-10-17,HJ1113,27,3525.53,Rastrillos,95189.31
2024-10-22,HJ1165,19,9212.85,Pulverizadores,175044.15
2024-10-07,HJ1168,53,6900.51,Pulverizadores,365727.03
2024-10-13,HJ1152,2,8429.66,Pulverizadores,16859.32
2024-10-25,HJ1182,46,7349.02,Pulverizadores,338054.92
2024-10-17,HJ1149,26,9192.03,Rastrillos,238992.78
2024-10-23,HJ1075,20,6523.87,Tijeras de Podar,130477.4
2024-10-20,HJ1083,15,6166.94,Tijeras de Podar,92504.1
2024-10-19,HJ1149,23,9192.03,Rastrillos,211416.69
2024-10-13,HJ1116,12,5095.16,Rastrillos,61141.92
